,Sentiment
26908,Negative
26909,Positive
26910,Positive
26911,Negative
26912,Neutral
26913,Negative
26914,Positive
26915,Positive
26916,Positive
26917,Negative
26918,Positive
26919,Neutral
26920,Positive
26921,Negative
26922,Neutral
26923,Neutral
26924,Negative
26925,Neutral
26926,Negative
26927,Negative
26928,Neutral
26929,Neutral
26930,Positive
26931,Neutral
26932,Neutral
26933,Positive
26934,Negative
26935,Negative
26936,Neutral
26937,Neutral
26938,Positive
26939,Positive
26940,Neutral
26941,Positive
26942,Neutral
26943,Negative
26944,Positive
26945,Positive
26946,Neutral
26947,Neutral
26948,Negative
26949,Positive
26950,Positive
26951,Positive
26952,Neutral
26953,Neutral
26954,Positive
26955,Neutral
26956,Negative
26957,Negative
26958,Negative
26959,Negative
26960,Negative
26961,Positive
26962,Negative
26963,Positive
26964,Positive
26965,Neutral
26966,Neutral
26967,Positive
26968,Positive
26969,Neutral
26970,Neutral
26971,Positive
26972,Negative
26973,Neutral
26974,Neutral
26975,Negative
26976,Positive
26977,Neutral
26978,Negative
26979,Neutral
26980,Positive
26981,Neutral
26982,Negative
26983,Positive
26984,Positive
26985,Negative
26986,Negative
26987,Positive
26988,Positive
26989,Negative
26990,Positive
26991,Neutral
26992,Negative
26993,Negative
26994,Positive
26995,Neutral
26996,Negative
26997,Negative
26998,Negative
26999,Negative
27000,Negative
27001,Positive
27002,Negative
27003,Negative
27004,Positive
27005,Negative
27006,Positive
27007,Neutral
27008,Positive
27009,Positive
27010,Positive
27011,Positive
27012,Positive
27013,Negative
27014,Negative
27015,Neutral
27016,Neutral
27017,Positive
27018,Negative
27019,Negative
27020,Negative
27021,Positive
27022,Positive
27023,Negative
27024,Negative
27025,Negative
27026,Positive
27027,Negative
27028,Neutral
27029,Neutral
27030,Neutral
27031,Positive
27032,Positive
27033,Positive
27034,Neutral
27035,Positive
27036,Negative
27037,Positive
27038,Neutral
27039,Neutral
27040,Negative
27041,Positive
27042,Positive
27043,Negative
27044,Positive
27045,Negative
27046,Neutral
27047,Negative
27048,Negative
27049,Neutral
27050,Neutral
27051,Neutral
27052,Neutral
27053,Positive
27054,Positive
27055,Neutral
27056,Neutral
27057,Positive
27058,Positive
27059,Positive
27060,Positive
27061,Positive
27062,Neutral
27063,Positive
27064,Positive
27065,Neutral
27066,Positive
27067,Positive
27068,Neutral
27069,Negative
27070,Positive
27071,Negative
27072,Negative
27073,Negative
27074,Neutral
27075,Positive
27076,Positive
27077,Negative
27078,Negative
27079,Positive
27080,Neutral
27081,Positive
27082,Positive
27083,Neutral
27084,Negative
27085,Negative
27086,Neutral
27087,Positive
27088,Negative
27089,Negative
27090,Positive
27091,Negative
27092,Negative
27093,Positive
27094,Neutral
27095,Positive
27096,Negative
27097,Negative
27098,Negative
27099,Positive
27100,Negative
27101,Positive
27102,Positive
27103,Positive
27104,Positive
27105,Positive
27106,Negative
27107,Positive
27108,Positive
27109,Negative
27110,Neutral
27111,Neutral
27112,Negative
27113,Positive
27114,Positive
27115,Positive
27116,Positive
27117,Neutral
27118,Neutral
27119,Positive
27120,Neutral
27121,Negative
27122,Neutral
27123,Negative
27124,Neutral
27125,Neutral
27126,Neutral
27127,Neutral
27128,Positive
27129,Positive
27130,Positive
27131,Negative
27132,Positive
27133,Neutral
27134,Neutral
27135,Negative
27136,Positive
27137,Positive
27138,Positive
27139,Positive
27140,Positive
27141,Negative
27142,Negative
27143,Negative
27144,Negative
27145,Negative
27146,Neutral
27147,Positive
27148,Neutral
27149,Neutral
27150,Positive
27151,Positive
27152,Negative
27153,Negative
27154,Positive
27155,Negative
27156,Positive
27157,Neutral
27158,Positive
27159,Positive
27160,Neutral
27161,Neutral
27162,Positive
27163,Neutral
27164,Negative
27165,Negative
27166,Neutral
27167,Neutral
27168,Neutral
27169,Negative
27170,Positive
27171,Positive
27172,Negative
27173,Positive
27174,Positive
27175,Neutral
27176,Negative
27177,Negative
27178,Positive
27179,Negative
27180,Neutral
27181,Negative
27182,Neutral
27183,Neutral
27184,Negative
27185,Positive
27186,Negative
27187,Negative
27188,Neutral
27189,Negative
27190,Negative
27191,Negative
27192,Neutral
27193,Negative
27194,Negative
27195,Positive
27196,Negative
27197,Positive
27198,Negative
27199,Positive
27200,Neutral
27201,Negative
27202,Neutral
27203,Neutral
27204,Negative
27205,Neutral
27206,Neutral
27207,Neutral
27208,Negative
27209,Neutral
27210,Neutral
27211,Negative
27212,Negative
27213,Neutral
27214,Neutral
27215,Negative
27216,Neutral
27217,Neutral
27218,Neutral
27219,Positive
27220,Positive
27221,Neutral
27222,Negative
27223,Positive
27224,Neutral
27225,Negative
27226,Positive
27227,Negative
27228,Positive
27229,Negative
27230,Positive
27231,Positive
27232,Negative
27233,Neutral
27234,Negative
27235,Negative
27236,Negative
27237,Positive
27238,Neutral
27239,Negative
27240,Negative
27241,Negative
27242,Neutral
27243,Positive
27244,Negative
27245,Positive
27246,Positive
27247,Negative
27248,Negative
27249,Negative
27250,Positive
27251,Negative
27252,Positive
27253,Negative
27254,Negative
27255,Negative
27256,Neutral
27257,Neutral
27258,Negative
27259,Neutral
27260,Neutral
27261,Neutral
27262,Neutral
27263,Neutral
27264,Neutral
27265,Negative
27266,Neutral
27267,Neutral
27268,Positive
27269,Neutral
27270,Positive
27271,Negative
27272,Neutral
27273,Negative
27274,Negative
27275,Negative
27276,Positive
27277,Neutral
27278,Negative
27279,Negative
27280,Negative
27281,Positive
27282,Negative
27283,Positive
27284,Neutral
27285,Negative
27286,Negative
27287,Positive
27288,Negative
27289,Negative
27290,Positive
27291,Neutral
27292,Positive
27293,Neutral
27294,Positive
27295,Positive
27296,Negative
27297,Negative
27298,Positive
27299,Neutral
27300,Neutral
27301,Negative
27302,Positive
27303,Neutral
27304,Neutral
27305,Positive
27306,Negative
27307,Neutral
27308,Negative
27309,Negative
27310,Neutral
27311,Negative
27312,Negative
27313,Neutral
27314,Negative
27315,Negative
27316,Neutral
27317,Negative
27318,Positive
27319,Negative
27320,Neutral
27321,Neutral
27322,Neutral
27323,Neutral
27324,Negative
27325,Positive
27326,Neutral
27327,Neutral
27328,Positive
27329,Positive
27330,Positive
27331,Negative
27332,Neutral
27333,Negative
27334,Negative
27335,Neutral
27336,Positive
27337,Positive
27338,Negative
27339,Positive
27340,Positive
27341,Negative
27342,Neutral
27343,Positive
27344,Negative
27345,Negative
27346,Negative
27347,Negative
27348,Negative
27349,Positive
27350,Neutral
27351,Neutral
27352,Neutral
27353,Positive
27354,Negative
27355,Positive
27356,Neutral
27357,Neutral
27358,Positive
27359,Negative
27360,Negative
27361,Neutral
27362,Negative
27363,Negative
27364,Positive
27365,Negative
27366,Negative
27367,Negative
27368,Positive
27369,Positive
27370,Positive
27371,Positive
27372,Negative
27373,Negative
27374,Positive
27375,Positive
27376,Positive
27377,Positive
27378,Negative
27379,Positive
27380,Positive
27381,Positive
27382,Positive
27383,Neutral
27384,Positive
27385,Neutral
27386,Neutral
27387,Positive
27388,Negative
27389,Negative
27390,Negative
27391,Negative
27392,Neutral
27393,Neutral
27394,Positive
27395,Negative
27396,Positive
27397,Neutral
27398,Neutral
27399,Positive
27400,Negative
27401,Negative
27402,Negative
27403,Neutral
27404,Positive
27405,Neutral
27406,Neutral
27407,Positive
27408,Neutral
27409,Negative
27410,Neutral
27411,Neutral
27412,Neutral
27413,Positive
27414,Positive
27415,Positive
27416,Positive
27417,Neutral
27418,Neutral
27419,Neutral
27420,Neutral
27421,Positive
27422,Positive
27423,Positive
27424,Neutral
27425,Neutral
27426,Positive
27427,Positive
27428,Positive
27429,Positive
27430,Positive
27431,Negative
27432,Positive
27433,Neutral
27434,Neutral
27435,Negative
27436,Positive
27437,Neutral
27438,Negative
27439,Positive
27440,Positive
27441,Positive
27442,Neutral
27443,Positive
27444,Neutral
27445,Positive
27446,Neutral
27447,Positive
27448,Negative
27449,Neutral
27450,Negative
27451,Neutral
27452,Positive
27453,Neutral
27454,Negative
27455,Negative
27456,Negative
27457,Negative
27458,Neutral
27459,Neutral
27460,Neutral
27461,Positive
27462,Positive
27463,Negative
27464,Positive
27465,Neutral
27466,Negative
27467,Negative
27468,Negative
27469,Negative
27470,Positive
27471,Positive
27472,Neutral
27473,Negative
27474,Positive
27475,Negative
27476,Negative
27477,Neutral
27478,Neutral
27479,Negative
27480,Neutral
27481,Neutral
27482,Positive
27483,Negative
27484,Neutral
27485,Neutral
27486,Positive
27487,Positive
27488,Positive
27489,Positive
27490,Negative
27491,Neutral
27492,Positive
27493,Neutral
27494,Positive
27495,Positive
27496,Neutral
27497,Neutral
27498,Positive
27499,Negative
27500,Neutral
27501,Negative
27502,Neutral
27503,Positive
27504,Neutral
27505,Neutral
27506,Neutral
27507,Negative
27508,Negative
27509,Neutral
27510,Positive
27511,Positive
27512,Positive
27513,Neutral
27514,Positive
27515,Negative
27516,Negative
27517,Neutral
27518,Negative
27519,Positive
27520,Negative
27521,Positive
27522,Neutral
27523,Negative
27524,Negative
27525,Positive
27526,Positive
27527,Negative
27528,Neutral
27529,Neutral
27530,Negative
27531,Negative
27532,Negative
27533,Negative
27534,Neutral
27535,Neutral
27536,Negative
27537,Positive
27538,Negative
27539,Neutral
27540,Neutral
27541,Positive
27542,Neutral
27543,Neutral
27544,Positive
27545,Negative
27546,Neutral
27547,Negative
27548,Positive
27549,Positive
27550,Neutral
27551,Neutral
27552,Positive
27553,Positive
27554,Positive
27555,Positive
27556,Neutral
27557,Neutral
27558,Positive
27559,Positive
27560,Negative
27561,Neutral
27562,Positive
27563,Neutral
27564,Negative
27565,Positive
27566,Negative
27567,Neutral
27568,Neutral
27569,Neutral
27570,Negative
27571,Neutral
27572,Neutral
27573,Positive
27574,Negative
27575,Negative
27576,Negative
27577,Positive
27578,Positive
27579,Neutral
27580,Positive
27581,Positive
27582,Negative
27583,Positive
27584,Neutral
27585,Positive
27586,Positive
27587,Positive
27588,Negative
27589,Neutral
27590,Neutral
27591,Neutral
27592,Positive
27593,Positive
27594,Neutral
27595,Positive
27596,Positive
27597,Neutral
27598,Positive
27599,Neutral
27600,Negative
27601,Positive
27602,Negative
27603,Neutral
27604,Neutral
27605,Neutral
27606,Neutral
27607,Negative
27608,Negative
27609,Neutral
27610,Neutral
27611,Neutral
27612,Neutral
27613,Neutral
27614,Positive
27615,Neutral
27616,Neutral
27617,Negative
27618,Negative
27619,Negative
27620,Positive
27621,Negative
27622,Neutral
27623,Positive
27624,Negative
27625,Neutral
27626,Neutral
27627,Positive
27628,Neutral
27629,Negative
27630,Positive
27631,Neutral
27632,Positive
27633,Neutral
27634,Negative
27635,Negative
27636,Negative
27637,Negative
27638,Neutral
27639,Negative
27640,Positive
27641,Negative
27642,Negative
27643,Negative
27644,Negative
27645,Negative
27646,Neutral
27647,Positive
27648,Negative
27649,Positive
27650,Negative
27651,Negative
27652,Neutral
27653,Positive
27654,Negative
27655,Negative
27656,Negative
27657,Positive
27658,Positive
27659,Negative
27660,Negative
27661,Positive
27662,Negative
27663,Negative
27664,Neutral
27665,Negative
27666,Neutral
27667,Neutral
27668,Negative
27669,Neutral
27670,Neutral
27671,Neutral
27672,Negative
27673,Negative
27674,Neutral
27675,Positive
27676,Neutral
27677,Positive
27678,Negative
27679,Positive
27680,Negative
27681,Negative
27682,Positive
27683,Positive
27684,Negative
27685,Neutral
27686,Negative
27687,Positive
27688,Negative
27689,Positive
27690,Positive
27691,Positive
27692,Negative
27693,Positive
27694,Negative
27695,Negative
27696,Neutral
27697,Negative
27698,Neutral
27699,Negative
27700,Negative
27701,Negative
27702,Positive
27703,Positive
27704,Negative
27705,Neutral
27706,Neutral
27707,Positive
27708,Neutral
27709,Neutral
27710,Negative
27711,Neutral
27712,Positive
27713,Neutral
27714,Negative
27715,Positive
27716,Negative
27717,Neutral
27718,Positive
27719,Negative
27720,Positive
27721,Negative
27722,Negative
27723,Positive
27724,Positive
27725,Positive
27726,Neutral
27727,Positive
27728,Negative
27729,Negative
27730,Neutral
27731,Positive
27732,Positive
27733,Negative
27734,Negative
27735,Positive
27736,Negative
27737,Positive
27738,Positive
27739,Positive
27740,Neutral
27741,Positive
27742,Neutral
27743,Neutral
27744,Negative
27745,Negative
27746,Neutral
27747,Positive
27748,Positive
27749,Negative
27750,Neutral
27751,Positive
27752,Positive
27753,Positive
27754,Neutral
27755,Positive
27756,Neutral
27757,Neutral
27758,Neutral
27759,Neutral
27760,Negative
27761,Negative
27762,Neutral
27763,Neutral
27764,Positive
27765,Negative
27766,Negative
27767,Neutral
27768,Negative
27769,Neutral
27770,Negative
27771,Negative
27772,Neutral
27773,Negative
27774,Neutral
27775,Positive
27776,Positive
27777,Neutral
27778,Neutral
27779,Negative
27780,Positive
27781,Neutral
27782,Negative
27783,Positive
27784,Negative
27785,Negative
27786,Positive
27787,Positive
27788,Neutral
27789,Neutral
27790,Negative
27791,Positive
27792,Neutral
27793,Positive
27794,Neutral
27795,Positive
27796,Negative
27797,Positive
27798,Positive
27799,Negative
27800,Positive
27801,Negative
27802,Neutral
27803,Neutral
27804,Negative
27805,Positive
27806,Negative
27807,Negative
27808,Neutral
27809,Positive
27810,Neutral
27811,Negative
27812,Positive
27813,Negative
27814,Positive
27815,Positive
27816,Neutral
27817,Negative
27818,Positive
27819,Positive
27820,Positive
27821,Negative
27822,Negative
27823,Negative
27824,Positive
27825,Positive
27826,Positive
27827,Negative
27828,Neutral
27829,Positive
27830,Positive
27831,Negative
27832,Negative
27833,Positive
27834,Negative
27835,Positive
27836,Positive
27837,Negative
27838,Positive
27839,Neutral
27840,Neutral
27841,Positive
27842,Positive
27843,Negative
27844,Neutral
27845,Negative
27846,Positive
27847,Positive
27848,Negative
27849,Neutral
27850,Negative
27851,Positive
27852,Negative
27853,Neutral
27854,Neutral
27855,Neutral
27856,Positive
27857,Positive
27858,Neutral
27859,Positive
27860,Positive
27861,Neutral
27862,Negative
27863,Neutral
27864,Neutral
27865,Positive
27866,Neutral
27867,Neutral
27868,Positive
27869,Negative
27870,Positive
27871,Positive
27872,Neutral
27873,Neutral
27874,Negative
27875,Neutral
27876,Neutral
27877,Negative
27878,Negative
27879,Positive
27880,Positive
27881,Negative
27882,Positive
27883,Positive
27884,Positive
27885,Negative
27886,Positive
27887,Positive
27888,Negative
27889,Positive
27890,Positive
27891,Negative
27892,Positive
27893,Positive
27894,Negative
27895,Negative
27896,Neutral
27897,Negative
27898,Negative
27899,Positive
27900,Neutral
27901,Neutral
27902,Positive
27903,Positive
27904,Positive
27905,Positive
27906,Positive
27907,Positive
27908,Negative
27909,Negative
27910,Negative
27911,Negative
27912,Negative
27913,Positive
27914,Neutral
27915,Negative
27916,Neutral
27917,Neutral
27918,Negative
27919,Neutral
27920,Negative
27921,Neutral
27922,Neutral
27923,Positive
27924,Neutral
27925,Negative
27926,Positive
27927,Positive
27928,Negative
27929,Positive
27930,Negative
27931,Positive
27932,Positive
27933,Negative
27934,Positive
27935,Positive
27936,Neutral
27937,Neutral
27938,Negative
27939,Positive
27940,Neutral
27941,Neutral
27942,Neutral
27943,Negative
27944,Negative
27945,Neutral
27946,Neutral
27947,Negative
27948,Positive
27949,Positive
27950,Positive
27951,Positive
27952,Positive
27953,Neutral
27954,Neutral
27955,Positive
27956,Negative
27957,Positive
27958,Negative
27959,Neutral
27960,Positive
27961,Neutral
27962,Negative
27963,Negative
27964,Neutral
27965,Negative
27966,Neutral
27967,Neutral
27968,Neutral
27969,Neutral
27970,Positive
27971,Neutral
27972,Positive
27973,Negative
27974,Positive
27975,Positive
27976,Neutral
27977,Positive
27978,Neutral
27979,Neutral
27980,Neutral
27981,Negative
27982,Negative
27983,Neutral
27984,Neutral
27985,Positive
27986,Negative
27987,Neutral
27988,Positive
27989,Negative
27990,Negative
27991,Negative
27992,Neutral
27993,Positive
27994,Neutral
27995,Positive
27996,Neutral
27997,Neutral
27998,Positive
27999,Negative
28000,Neutral
28001,Neutral
28002,Negative
28003,Neutral
28004,Negative
28005,Neutral
28006,Negative
28007,Neutral
28008,Neutral
28009,Neutral
28010,Positive
28011,Neutral
28012,Neutral
28013,Positive
28014,Positive
28015,Positive
28016,Positive
28017,Neutral
28018,Neutral
28019,Neutral
28020,Positive
28021,Neutral
28022,Neutral
28023,Neutral
28024,Positive
28025,Neutral
28026,Negative
28027,Positive
28028,Neutral
28029,Positive
28030,Positive
28031,Neutral
28032,Positive
28033,Neutral
28034,Positive
28035,Neutral
28036,Positive
28037,Positive
28038,Neutral
28039,Negative
28040,Neutral
28041,Neutral
28042,Neutral
28043,Positive
28044,Negative
28045,Negative
28046,Positive
28047,Negative
28048,Positive
28049,Negative
28050,Positive
28051,Negative
28052,Neutral
28053,Negative
28054,Positive
28055,Neutral
28056,Positive
28057,Neutral
28058,Positive
28059,Negative
28060,Neutral
28061,Neutral
28062,Neutral
28063,Positive
28064,Negative
28065,Positive
28066,Neutral
28067,Neutral
28068,Negative
28069,Neutral
28070,Positive
28071,Positive
28072,Negative
28073,Neutral
28074,Negative
28075,Neutral
28076,Negative
28077,Neutral
28078,Positive
28079,Positive
28080,Positive
28081,Neutral
28082,Neutral
28083,Negative
28084,Negative
28085,Negative
28086,Positive
28087,Negative
28088,Neutral
28089,Neutral
28090,Negative
28091,Neutral
28092,Positive
28093,Negative
28094,Negative
28095,Positive
28096,Neutral
28097,Negative
28098,Positive
28099,Positive
28100,Positive
28101,Neutral
28102,Negative
28103,Negative
28104,Positive
28105,Positive
28106,Neutral
28107,Neutral
28108,Positive
28109,Positive
28110,Positive
28111,Positive
28112,Negative
28113,Positive
28114,Neutral
28115,Neutral
28116,Negative
28117,Negative
28118,Negative
28119,Neutral
28120,Negative
28121,Negative
28122,Neutral
28123,Neutral
28124,Negative
28125,Neutral
28126,Negative
28127,Positive
28128,Neutral
28129,Neutral
28130,Positive
28131,Positive
28132,Positive
28133,Negative
28134,Neutral
28135,Negative
28136,Neutral
28137,Negative
28138,Neutral
28139,Negative
28140,Positive
28141,Positive
28142,Negative
28143,Neutral
28144,Neutral
28145,Neutral
28146,Positive
28147,Negative
28148,Neutral
28149,Negative
28150,Negative
28151,Neutral
28152,Neutral
28153,Positive
28154,Positive
28155,Neutral
28156,Negative
28157,Negative
28158,Neutral
28159,Positive
28160,Negative
28161,Negative
28162,Positive
28163,Positive
28164,Positive
28165,Positive
28166,Negative
28167,Positive
28168,Neutral
28169,Negative
28170,Positive
28171,Neutral
28172,Positive
28173,Negative
28174,Neutral
28175,Negative
28176,Negative
28177,Positive
28178,Negative
28179,Negative
28180,Negative
28181,Positive
28182,Positive
28183,Positive
28184,Positive
28185,Positive
28186,Neutral
28187,Neutral
28188,Positive
28189,Positive
28190,Negative
28191,Neutral
28192,Positive
28193,Positive
28194,Neutral
28195,Positive
28196,Positive
28197,Positive
28198,Neutral
28199,Positive
28200,Positive
28201,Negative
28202,Neutral
28203,Negative
28204,Negative
28205,Positive
28206,Neutral
28207,Neutral
28208,Negative
28209,Neutral
28210,Positive
28211,Positive
28212,Negative
28213,Neutral
28214,Positive
28215,Neutral
28216,Neutral
28217,Positive
28218,Positive
28219,Neutral
28220,Negative
28221,Neutral
28222,Positive
28223,Neutral
28224,Neutral
28225,Negative
28226,Positive
28227,Positive
28228,Negative
28229,Neutral
28230,Neutral
28231,Neutral
28232,Negative
28233,Negative
28234,Positive
28235,Neutral
28236,Neutral
28237,Neutral
28238,Negative
28239,Positive
28240,Positive
28241,Neutral
28242,Neutral
28243,Positive
28244,Neutral
28245,Positive
28246,Neutral
28247,Neutral
28248,Neutral
28249,Positive
28250,Neutral
28251,Negative
28252,Positive
28253,Negative
28254,Negative
28255,Neutral
28256,Positive
28257,Positive
28258,Positive
28259,Positive
28260,Negative
28261,Negative
28262,Negative
28263,Negative
28264,Negative
28265,Positive
28266,Neutral
28267,Negative
28268,Negative
28269,Neutral
28270,Negative
28271,Neutral
28272,Negative
28273,Neutral
28274,Neutral
28275,Neutral
28276,Neutral
28277,Negative
28278,Positive
28279,Positive
28280,Positive
28281,Positive
28282,Neutral
28283,Neutral
28284,Neutral
28285,Negative
28286,Positive
28287,Neutral
28288,Neutral
28289,Neutral
28290,Positive
28291,Neutral
28292,Negative
28293,Positive
28294,Positive
28295,Negative
28296,Positive
28297,Negative
28298,Negative
28299,Negative
28300,Positive
28301,Neutral
28302,Positive
28303,Negative
28304,Negative
28305,Negative
28306,Negative
28307,Neutral
28308,Neutral
28309,Neutral
28310,Positive
28311,Neutral
28312,Neutral
28313,Negative
28314,Negative
28315,Positive
28316,Negative
28317,Positive
28318,Negative
28319,Neutral
28320,Neutral
28321,Neutral
28322,Positive
28323,Neutral
28324,Positive
28325,Positive
28326,Neutral
28327,Neutral
28328,Negative
28329,Negative
28330,Positive
28331,Positive
28332,Neutral
28333,Negative
28334,Positive
28335,Negative
28336,Neutral
28337,Negative
28338,Neutral
28339,Negative
28340,Positive
28341,Negative
28342,Negative
28343,Positive
28344,Positive
28345,Neutral
28346,Negative
28347,Neutral
28348,Negative
28349,Positive
28350,Neutral
28351,Negative
28352,Negative
28353,Positive
28354,Positive
28355,Neutral
28356,Negative
28357,Positive
28358,Neutral
28359,Neutral
28360,Negative
28361,Negative
28362,Neutral
28363,Positive
28364,Positive
28365,Neutral
28366,Neutral
28367,Neutral
28368,Negative
28369,Negative
28370,Positive
28371,Positive
28372,Positive
28373,Neutral
28374,Neutral
28375,Negative
28376,Neutral
28377,Negative
28378,Neutral
28379,Negative
28380,Negative
28381,Neutral
28382,Neutral
28383,Negative
28384,Negative
28385,Neutral
28386,Neutral
28387,Neutral
28388,Positive
28389,Positive
28390,Negative
28391,Neutral
28392,Positive
28393,Positive
28394,Negative
28395,Positive
28396,Negative
28397,Neutral
28398,Negative
28399,Positive
28400,Positive
28401,Neutral
28402,Neutral
28403,Neutral
28404,Neutral
28405,Negative
28406,Negative
28407,Neutral
28408,Neutral
28409,Negative
28410,Positive
28411,Negative
28412,Positive
28413,Negative
28414,Negative
28415,Neutral
28416,Positive
28417,Positive
28418,Positive
28419,Neutral
28420,Negative
28421,Negative
28422,Neutral
28423,Positive
28424,Negative
28425,Positive
28426,Positive
28427,Neutral
28428,Neutral
28429,Negative
28430,Neutral
28431,Positive
28432,Negative
28433,Neutral
28434,Neutral
28435,Negative
28436,Positive
28437,Negative
28438,Neutral
28439,Positive
28440,Negative
28441,Neutral
28442,Neutral
28443,Negative
28444,Negative
28445,Neutral
28446,Positive
28447,Negative
28448,Neutral
28449,Neutral
28450,Negative
28451,Positive
28452,Positive
28453,Positive
28454,Positive
28455,Positive
28456,Neutral
28457,Positive
28458,Negative
28459,Neutral
28460,Positive
28461,Neutral
28462,Negative
28463,Positive
28464,Neutral
28465,Positive
28466,Positive
28467,Negative
28468,Positive
28469,Neutral
28470,Neutral
28471,Negative
28472,Negative
28473,Positive
28474,Negative
28475,Positive
28476,Positive
28477,Neutral
28478,Neutral
28479,Negative
28480,Neutral
28481,Neutral
28482,Neutral
28483,Positive
28484,Positive
28485,Negative
28486,Neutral
28487,Positive
28488,Negative
28489,Positive
28490,Positive
28491,Neutral
28492,Neutral
28493,Negative
28494,Positive
28495,Neutral
28496,Negative
28497,Positive
28498,Positive
28499,Negative
28500,Neutral
28501,Neutral
28502,Positive
28503,Negative
28504,Neutral
28505,Positive
28506,Positive
28507,Negative
28508,Neutral
28509,Neutral
28510,Neutral
28511,Negative
28512,Positive
28513,Neutral
28514,Neutral
28515,Positive
28516,Neutral
28517,Negative
28518,Positive
28519,Positive
28520,Neutral
28521,Negative
28522,Neutral
28523,Neutral
28524,Neutral
28525,Positive
28526,Positive
28527,Neutral
28528,Neutral
28529,Neutral
28530,Positive
28531,Neutral
28532,Neutral
28533,Positive
28534,Negative
28535,Negative
28536,Neutral
28537,Negative
28538,Positive
28539,Neutral
28540,Negative
28541,Neutral
28542,Positive
28543,Positive
28544,Positive
28545,Neutral
28546,Neutral
28547,Negative
28548,Neutral
28549,Positive
28550,Positive
28551,Positive
28552,Negative
28553,Positive
28554,Positive
28555,Positive
28556,Neutral
28557,Negative
28558,Negative
28559,Negative
28560,Positive
28561,Negative
28562,Negative
28563,Positive
28564,Neutral
28565,Negative
28566,Negative
28567,Positive
28568,Positive
28569,Negative
28570,Negative
28571,Neutral
28572,Negative
28573,Positive
28574,Neutral
28575,Negative
28576,Negative
28577,Positive
28578,Positive
28579,Neutral
28580,Positive
28581,Positive
28582,Neutral
28583,Positive
28584,Positive
28585,Neutral
28586,Neutral
28587,Positive
28588,Positive
28589,Neutral
28590,Positive
28591,Negative
28592,Neutral
28593,Negative
28594,Positive
28595,Positive
28596,Negative
28597,Negative
28598,Negative
28599,Positive
28600,Neutral
28601,Neutral
28602,Negative
28603,Negative
28604,Neutral
28605,Positive
28606,Positive
28607,Negative
28608,Neutral
28609,Neutral
28610,Positive
28611,Negative
28612,Neutral
28613,Neutral
28614,Positive
28615,Positive
28616,Positive
28617,Neutral
28618,Neutral
28619,Neutral
28620,Negative
28621,Neutral
28622,Negative
28623,Negative
28624,Positive
28625,Negative
28626,Negative
28627,Negative
28628,Negative
28629,Positive
28630,Negative
28631,Positive
28632,Positive
28633,Negative
28634,Positive
28635,Negative
28636,Positive
28637,Negative
28638,Neutral
28639,Positive
28640,Positive
28641,Neutral
28642,Neutral
28643,Neutral
28644,Positive
28645,Negative
28646,Negative
28647,Neutral
28648,Neutral
28649,Negative
28650,Positive
28651,Negative
28652,Negative
28653,Neutral
28654,Negative
28655,Neutral
28656,Neutral
28657,Positive
28658,Neutral
28659,Positive
28660,Negative
28661,Negative
28662,Positive
28663,Negative
28664,Neutral
28665,Positive
28666,Positive
28667,Positive
28668,Negative
28669,Positive
28670,Neutral
28671,Negative
28672,Negative
28673,Negative
28674,Neutral
28675,Positive
28676,Negative
28677,Neutral
28678,Neutral
28679,Neutral
28680,Neutral
28681,Negative
28682,Positive
28683,Positive
28684,Positive
28685,Negative
28686,Positive
28687,Positive
28688,Positive
28689,Positive
28690,Positive
28691,Neutral
28692,Negative
28693,Positive
28694,Positive
28695,Neutral
28696,Negative
28697,Negative
28698,Positive
28699,Neutral
28700,Negative
28701,Positive
28702,Positive
28703,Positive
28704,Negative
28705,Positive
28706,Negative
28707,Neutral
28708,Positive
28709,Negative
28710,Positive
28711,Negative
28712,Neutral
28713,Positive
28714,Neutral
28715,Neutral
28716,Negative
28717,Negative
28718,Neutral
28719,Negative
28720,Neutral
28721,Negative
28722,Positive
28723,Negative
28724,Positive
28725,Negative
28726,Neutral
28727,Neutral
28728,Positive
28729,Negative
28730,Negative
28731,Neutral
28732,Neutral
28733,Negative
28734,Positive
28735,Neutral
28736,Negative
28737,Negative
28738,Neutral
28739,Negative
28740,Negative
28741,Neutral
28742,Positive
28743,Positive
28744,Neutral
28745,Neutral
28746,Positive
28747,Neutral
28748,Positive
28749,Neutral
28750,Positive
28751,Neutral
28752,Positive
28753,Positive
28754,Positive
28755,Negative
28756,Positive
28757,Negative
28758,Neutral
28759,Positive
28760,Neutral
28761,Negative
28762,Negative
28763,Neutral
28764,Negative
28765,Negative
28766,Negative
28767,Neutral
28768,Positive
28769,Positive
28770,Negative
28771,Negative
28772,Positive
28773,Positive
28774,Positive
28775,Negative
28776,Negative
28777,Neutral
28778,Neutral
28779,Positive
28780,Neutral
28781,Negative
28782,Positive
28783,Negative
28784,Neutral
28785,Positive
28786,Negative
28787,Negative
28788,Negative
28789,Negative
28790,Positive
28791,Negative
28792,Positive
28793,Neutral
28794,Positive
28795,Positive
28796,Positive
28797,Neutral
28798,Neutral
28799,Neutral
28800,Neutral
28801,Positive
28802,Neutral
28803,Neutral
28804,Positive
28805,Neutral
28806,Negative
28807,Neutral
28808,Neutral
28809,Negative
28810,Positive
28811,Negative
28812,Neutral
28813,Neutral
28814,Neutral
28815,Neutral
28816,Positive
